,ID_city,Villes,lat,lon,name,pop_mean,gust_mean,tempfeel_mean,temp_max,temp_min,temp_diff,pop_score,gust_score,tempfeel_score,temp_diff_score,final_score
19,19,Cassis,43.2140359,5.5396318,Cassis,0.132,6.583750000000002,9.992250000000013,14.79000000000002,7.07000000000005,7.71999999999997,10,25,35,31,101
26,26,Saintes Maries de la mer,43.4515922,4.4277202,Saintes-Maries-de-la-Mer,0.14675,7.268499999999999,8.666000000000054,13.640000000000043,6.910000000000025,6.730000000000018,10,22,31,35,98
25,25,Aigues Mortes,43.5661521,4.19154,Aigues-Mortes,0.15999999999999998,6.639250000000001,8.302000000000021,14.020000000000039,6.7900000000000205,7.230000000000018,10,24,30,33,97
20,20,Marseille,43.2961743,5.3699525,Marseille,0.13125,6.79025,9.705249999999978,14.57000000000005,6.170000000000016,8.400000000000034,10,23,34,30,97
18,18,Bormes les Mimosas,43.1506968,6.3419285,Bormes-les-Mimosas,0.1315,6.4719999999999995,8.809500000000071,14.32000000000005,5.220000000000027,9.100000000000023,10,26,33,27,96
27,27,Collioure,42.52505,3.0831554,Collioure,0.15175,5.219000000000001,8.786749999999984,17.220000000000027,5.1200000000000045,12.100000000000023,10,30,32,12,84
24,24,Nimes,43.8374249,4.3600687,Nîmes,0.19124999999999998,5.489749999999999,7.61525000000006,15.189999999999998,3.5600000000000023,11.629999999999995,10,29,28,13,80
21,21,Aix en Provence,43.5298424,5.4474738,Aix-en-Provence,0.13724999999999998,5.511249999999999,7.551250000000039,15.170000000000016,3.680000000000007,11.490000000000009,10,27,27,14,78
22,22,Avignon,43.9492493,4.8059012,Avignon,0.21749999999999997,5.491249999999999,7.823999999999955,15.830000000000041,3.0,12.830000000000041,10,28,29,7,74
23,23,Uzes,44.0121279,4.4196718,Uzès,0.23399999999999993,5.08425,6.609250000000031,14.550000000000011,2.3000000000000114,12.25,10,31,23,10,74
15,15,Grenoble,45.1875602,5.7357819,Grenoble,0.404,3.0852500000000003,6.086749999999995,15.220000000000027,0.5800000000000409,14.639999999999986,5,35,21,2,63
28,28,Carcassonne,43.2130358,2.3491069,Carcassonne,0.22774999999999998,7.885250000000001,6.641750000000002,15.850000000000023,3.430000000000007,12.420000000000016,10,20,24,9,63
16,16,Lyon,45.7578137,4.8320114,Lyon,0.37199999999999983,7.921499999999999,5.563249999999982,13.07000000000005,2.2100000000000364,10.860000000000014,5,19,20,18,62
11,11,Eguisheim,48.0447968,7.3079618,Eguisheim,0.36600000000000005,7.969000000000003,4.6477500000000305,11.890000000000043,1.4500000000000455,10.439999999999998,5,18,16,20,59
17,17,Gorges du Verdon,43.7496562,6.3285616,Gorges du Verdon,0.1705,3.9344999999999986,2.713999999999942,11.050000000000011,-1.1200000000000045,12.170000000000016,10,33,4,11,58
