,city_orgn,city_id,city_rank,url,name,adresse,lat,lng,score,description,CP,city_frombooking
0,Cassis,19,1,https://www.booking.com/hotel/fr/aiguade-appartement-d-exception-a-cassis.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArnZ1K4GwAIB0gIkYjNlODNlMmItM2QzMS00NTI5LTkyNjUtMWM4YWYzZjQ5Mjg32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=0061a0a2ac5300f1&srepoch=1708469446&from=searchresults,"L’Aiguade, appartement d'exception à Cassis","
12 Avenue de l'Amiral Ganteaume, 13260 Cassis, France
",43.2141154,5.5338211,9.9,"Situated just 800 metres from Grande Mer, L’Aiguade, appartement d'exception à Cassis provides accommodation in Cassis with access to a garden, barbecue facilities, as well as private check-in and check-out. This beachfront property offers access to free WiFi and free private parking. The property is non-smoking and is located 300 metres from Bestouan.

The apartment comes with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with cable channels, a fully equipped kitchen, and a terrace with sea views. Guests can enjoy a meal on an outdoor dining area while overlooking the garden views. For added privacy, the accommodation features a private entrance.

Anse de Corton Beach is 1.2 km from the apartment, while Orange Velodrome Stadium is 20 km away. The nearest airport is Marseille Provence Airport, 46 km from L’Aiguade, appartement d'exception à Cassis.",13260,Cassis
1,Cassis,19,1,https://www.booking.com/hotel/fr/clos-du-petit-ja-c-sus.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArnZ1K4GwAIB0gIkYjNlODNlMmItM2QzMS00NTI5LTkyNjUtMWM4YWYzZjQ5Mjg32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=0061a0a2ac5300f1&srepoch=1708469446&from=searchresults,Chambre d'hôtes Clos du Petit Jésus,"
4 Av. de Provence, 13260 Cassis, France
",43.21524569,5.54466784,9.6,"Located in Cassis, just a 5-minute walk from the beach, Clos du Petit Jésus offers an outdoor swimming pool, a private terrace and an area for sun bathing. The Cassis Calanques are a 5-minute drive away.

The double room is air-conditioned and features a terrace with a pool and countryside view, a flat-screen TV, DVD player, safety deposit box and wardrobe. The en suite bathroom includes a hairdryer and free toiletries.

A continental breakfast serving fresh bread, pastries, fruit juice, yogurt, jam, fresh fruit and hot drinks is provided each morning. It is served on the terrace or in the guest’s room.

Additional features include massage treatments and a babysitting service, both upon request. Marseille is only a 20-minure drive away and La Ciotat is a 15-minute drive from the property.",13260,Cassis
2,Cassis,19,1,https://www.booking.com/hotel/fr/entre-terre-et-mer-a-cassis.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArnZ1K4GwAIB0gIkYjNlODNlMmItM2QzMS00NTI5LTkyNjUtMWM4YWYzZjQ5Mjg32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=0061a0a2ac5300f1&srepoch=1708469446&from=searchresults,Entre terre et mer à cassis,"
3 Avenue de Provence, 13260 Cassis, France
",43.2163799,5.5446442,9.6,"A recently renovated property, Entre terre et mer à cassis is set in Cassis near Anse de Corton Beach, Arene. The air-conditioned accommodation is 1 km from Grande Mer, and guests can benefit from complimentary WiFi and private parking available on site. The property is non-smoking and is located 20 km from Orange Velodrome Stadium.

The apartment with a terrace and mountain views features 1 bedroom, 2 living rooms, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a shower. Towels and bed linen are featured in the apartment. The property has an outdoor dining area.

Rond-Point du Prado Metro Station is 20 km from the apartment, while Marseille Chanot Exhibition and Convention Centre is 20 km away. The nearest airport is Marseille Provence Airport, 45 km from Entre terre et mer à cassis.",13260,Cassis
3,Cassis,19,1,https://www.booking.com/hotel/fr/la-demeure-insoupconnee.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArnZ1K4GwAIB0gIkYjNlODNlMmItM2QzMS00NTI5LTkyNjUtMWM4YWYzZjQ5Mjg32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=0061a0a2ac5300f1&srepoch=1708469446&from_sustainable_property_sr=1&from=searchresults,La Demeure Insoupçonnée,"
21 Montée de la Chapelle, 13260 Cassis, France
",43.2191999,5.5471365,9.4,"Located in Cassis, just a 10-minute walk from the seafront, La Demeure Insoupçonnée offers bed and breakfast accommodation with panoramic views of the sea, vineyards and Cape Canaille. The property features a south-facing outdoor pool, a sun terrace with sun loungers, a boules court, a ping-pong table and an outdoor summer kitchen.

Each of the rooms at La Demeure Insoupçonnée are air-conditioned and come with a flat-screen TV, and a private terrace. Rooms also feature a minibar, a safe, free WiFi and tea and coffee making facilities. The private bathrooms have either a bath or a shower.

 a full breakfast is served every day in a basket on your private terrace or in your bedroom. The breakfast consists of fresh bread, pastries, fruit juices, yogurt, homemade jams, fresh fruit, cold cuts and hot drinks.

Free public parking is available on site. Marseille Provence Airport is 54 km from La Demeure Insoupçonnée and Cassis Train Station is 3 km away.",13260,Cassis
4,Cassis,19,1,https://www.booking.com/hotel/fr/aquarius-in-cassis-chambres-d-hotes.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArnZ1K4GwAIB0gIkYjNlODNlMmItM2QzMS00NTI5LTkyNjUtMWM4YWYzZjQ5Mjg32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=0061a0a2ac5300f1&srepoch=1708469446&from_sustainable_property_sr=1&from=searchresults,"AQUARIUS IN CASSIS, Chambres d'Hôtes","
22 Impasse des Brayes, 13260 Cassis, France
",43.2223547,5.5345386,9.4,"Featuring pool with a view and views of mountain, AQUARIUS IN CASSIS, Chambres d'Hôtes is a recently renovated guest house set in Cassis, 1.2 km from Bestouan. The air-conditioned accommodation is 1.5 km from Grande Mer. There is a sun terrace and guests can make use of free WiFi, free private parking and an electric vehicle charging station.

The guest house offers certain units with pool views, and the units are fitted with a private bathroom.

Guests at the guest house will be able to enjoy activities in and around Cassis, like snorkelling, cycling and fishing. Guests at AQUARIUS IN CASSIS, Chambres d'Hôtes can enjoy hiking and walking tours nearby, or make the most of the garden.

Anse de Corton Beach is 1.8 km from the accommodation, while Orange Velodrome Stadium is 19 km away. The nearest airport is Marseille Provence Airport, 45 km from AQUARIUS IN CASSIS, Chambres d'Hôtes.",13260,Cassis
5,Cassis,19,1,https://www.booking.com/hotel/fr/villa-bobnell.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArnZ1K4GwAIB0gIkYjNlODNlMmItM2QzMS00NTI5LTkyNjUtMWM4YWYzZjQ5Mjg32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=0061a0a2ac5300f1&srepoch=1708469446&from=searchresults,Villa Bobnell,"
4 Impasse du 8 mai, 13260 Cassis, France
",43.2204519,5.5360908,9.4,"Villa Bobnell is a self-catering accommodation located in Cassis, offering a garden and a terrace with BBQ facilities. Free WiFi access is available.

Accommodation will provide you with a flat-screen TV with cable channels, a DVD player, air conditioning and a terrace. Private bathrooms come with a bath or shower and a hairdryer.

The equipped kitchen features a stovetop, microwave, toaster, kitchenware and oven. Extras include a coffee machine and electric kettle. Meals can be enjoyed either indoors or outdoors.

Provence Airport is located 35 km away. The property offers free parking.",13260,Cassis
6,Cassis,19,1,https://www.booking.com/hotel/fr/la-douceur-de-cassis.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArnZ1K4GwAIB0gIkYjNlODNlMmItM2QzMS00NTI5LTkyNjUtMWM4YWYzZjQ5Mjg32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=0061a0a2ac5300f1&srepoch=1708469446&from=searchresults,La douceur de Cassis,"
16 Avenue du Picouveau, 13260 Cassis, France
",43.215009,5.530956,9.3,"Featuring air-conditioned accommodation with a balcony, La douceur de Cassis is located in Cassis. Among the facilities at this property are a 24-hour front desk and a lift, along with free WiFi throughout the property. Orange Velodrome Stadium is 20 km from the apartment and Rond-Point du Prado Metro Station is 20 km away.

The apartment is equipped with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with cable channels, a dining area, a fully equipped kitchen, and a terrace with sea views. The property has an outdoor dining area.

There is a coffee shop and bar.

Guests at the apartment will be able to enjoy activities in and around Cassis, like cycling and walking tours.

Popular points of interest near La douceur de Cassis include Bestouan, Grande Mer and Anse de Corton Beach. The nearest airport is Marseille Provence Airport, 46 km from the accommodation.",13260,Cassis
7,Cassis,19,1,https://www.booking.com/hotel/fr/charmant-studio-au-coeur-de-cassis.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArnZ1K4GwAIB0gIkYjNlODNlMmItM2QzMS00NTI5LTkyNjUtMWM4YWYzZjQ5Mjg32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=0061a0a2ac5300f1&srepoch=1708469446&from=searchresults,Charmant studio au cœur de Cassis,"
34 Rue Adolphe Thiers, 13260 Cassis, France
",43.215634,5.5384481,9.2,"Located in Cassis, just 400 metres from Grande Mer, Charmant studio au cœur de Cassis provides beachfront accommodation with free WiFi. The property is situated 800 metres from Bestouan, less than 1 km from Anse de Corton Beach and 20 km from Orange Velodrome Stadium. Rond-Point du Prado Metro Station is 20 km away and Marseille Chanot Exhibition and Convention Centre is 20 km from the apartment.

The 1-bedroom apartment comes with a living room with a flat-screen TV with cable channels, a fully equipped kitchen with an oven and microwave, and 1 bathroom with walk-in shower. Towels and bed linen are featured in the apartment. This apartment is non-smoking and soundproof.

La Timone Metro Station is 21 km from the apartment, while Castellane Metro Station is 22 km away. The nearest airport is Marseille Provence Airport, 45 km from Charmant studio au cœur de Cassis.",13260,Cassis
8,Cassis,19,1,https://www.booking.com/hotel/fr/hpc-suites.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArnZ1K4GwAIB0gIkYjNlODNlMmItM2QzMS00NTI5LTkyNjUtMWM4YWYzZjQ5Mjg32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=0061a0a2ac5300f1&srepoch=1708469446&from=searchresults,HPC Suites,"
10 Avenue Augustin Isnard, 13260 Cassis, France
",43.21644024,5.54174572,9.2,"Offering a shared outdoor pool with a terrace and views of the sea, HPC Suites is situated in a 4000 metres² park in the centre of Cassis. Marseille is 16 km away and the nearest beach is a 10-minute walk away. Free private parking is available on site.

The property was entirely renovated in 2019. Featuring a terrace, all units include a dining area and a seating area with a flat-screen TV. There is also a kitchen, fitted with an oven and microwave. A toaster, a fridge and stovetop are also available, as well as a coffee machine. HPC Suites features free WiFi throughout the property. Towels and bed linen are offered.

Free private secure parking is available.

The port is an 8-minute walk away and many restaurants and a traditional Provençal market can be found in the neighbourhood.

You can play table tennis at the property, and the area is popular for diving and cycling. Aix-en-Provence is 35 km from HPC Suites. The nearest airport is Marseille Provence Airport, 36 km from the property.",13260,Cassis
9,Cassis,19,1,https://www.booking.com/hotel/fr/cassis-ma-vie-la.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4ArnZ1K4GwAIB0gIkYjNlODNlMmItM2QzMS00NTI5LTkyNjUtMWM4YWYzZjQ5Mjg32AIG4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=0061a0a2ac5300f1&srepoch=1708469446&from_sustainable_property_sr=1&from=searchresults,Cassis Ma Vie Là,"
10 ter avenue Augustin Isnard, 13260 Cassis, France
",43.216905,5.541446,9.1,"Offering garden views, Cassis Ma Vie Là is an accommodation set in Cassis, 1 km from Anse de Corton Beach and 1.2 km from Bestouan. Complimentary WiFi is provided throughout the property and private parking is available on site. The property is non-smoking and is located 700 metres from Grande Mer.

The air-conditioned apartment consists of 2 bedrooms, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a walk-in shower and a hair dryer. Guests can enjoy a meal on an outdoor dining area while overlooking the sea views. For added privacy, the accommodation has a private entrance and soundproofing.

There is a coffee shop on-site.

For guests with children, the apartment provides a baby safety gate. Guests at Cassis Ma Vie Là can enjoy snorkelling and cycling nearby, or make the most of the garden.

Orange Velodrome Stadium is 19 km from the accommodation, while Rond-Point du Prado Metro Station is 19 km away. The nearest airport is Marseille Provence Airport, 45 km from Cassis Ma Vie Là.",13260,Cassis
